"school","contact_email","contact_type","likely_fit_reason","source_url","notes"
"American University Washington College of Law","wcladmit@wcl.american.edu","Admissions","international law; public interest; Washington policy","https://www.wcl.american.edu/school/admissions/",""
"Arizona State University Sandra Day O'Connor College of Law","asulaw.admissions@asu.edu","JD/LLM admissions","rule of law; public service; regulation","https://law.asu.edu/index.php/contact","Email decoded from ASU's Cloudflare-protected official contact page."
"Boston College Law School","bclawadm@bc.edu","Admissions","public law; policy; global programs","https://www.bc.edu/bc-web/schools/law/about/contact.html",""
"Boston University School of Law","bulawadm@bu.edu","JD admissions","banking and financial regulation; international law","https://www.bu.edu/law/about/offices/admissions-jd-program/",""
"Columbia Law School","admissions@law.columbia.edu","JD admissions","corporate governance; white-collar; international law","https://www.law.columbia.edu/about/contact-us",""
"Cornell Law School","jdadmissions@cornell.edu","JD admissions","international law; governance; public law","https://www.lawschool.cornell.edu/admissions/jd-admissions/",""
"Duke University School of Law","admissions@law.duke.edu","Admissions","international and comparative law; governance","https://law.duke.edu/apply/contact",""
"Emory University School of Law","jdadmission@emory.edu","JD admissions","public law; criminal law; international law","https://law.emory.edu/admission/tuition-and-financial-aid.html",""
"Florida State University College of Law","admissions@law.fsu.edu","JD admissions","government and regulation; public law; policy","https://law.fsu.edu/admissions",""
"Fordham University School of Law","lawadmissions@fordham.edu","JD admissions","compliance; white-collar; corporate ethics","https://www.fordham.edu/school-of-law/admissions/jd-admissions/contact-jd-admissions/",""
"Georgetown Law","lawadmissions@georgetown.edu","Admissions","public policy; global governance; anti-corruption overlap","https://www.law.georgetown.edu/admissions-aid/jd-admissions/",""
"George Mason University Antonin Scalia Law School","lawadmit@gmu.edu","JD admissions","regulatory state; public policy; law and economics","https://www.law.gmu.edu/admissions/",""
"George Washington University Law School","admissions@law.gwu.edu","JD admissions","government regulation; procurement; white-collar","https://www.law.gwu.edu/contact-jd-admissions",""
"Harvard Law School","jdadmiss@law.harvard.edu","JD admissions","governance; public law; global legal institutions","https://hls.harvard.edu/jdadmissions/contact-j-d-admissions/",""
"Indiana University Maurer School of Law","lawadmis@iu.edu","JD admissions","international and comparative law; institutions","https://law.indiana.edu/about/contact-us.html",""
"Loyola University Chicago School of Law","law-admissions@luc.edu","JD admissions","compliance; public interest; health law","https://www.luc.edu/law/admission/jdadmittedstudents/admittedstudentfaq/",""
"New York University School of Law","law.moreinfo@nyu.edu","JD admissions","corporate compliance and enforcement","https://www.law.nyu.edu/about/nyulawcontact",""
"Northwestern Pritzker School of Law","admissions@law.northwestern.edu","Admissions","compliance; business law; criminal justice","https://www.law.northwestern.edu/admissions",""
"Notre Dame Law School","lawadmit@nd.edu","Admissions","rule of law; ethics; global law","https://law.nd.edu/contact/",""
"Ohio State Moritz College of Law","lawadmit@osu.edu","Admissions","public service; criminal law; dispute resolution","https://moritzlaw.osu.edu/office-admissions-and-financial-aid",""
"Penn Carey Law","contactadmissions@law.upenn.edu","JD admissions","business law; compliance; governance","https://www.law.upenn.edu/admissions/",""
"Rutgers Law School","admissions@law.rutgers.edu","Admissions","public interest; criminal and constitutional law","https://law.rutgers.edu/admissions",""
"Seton Hall Law School","admitme@shu.edu","Admissions","compliance; health law; white-collar proximity","https://law.shu.edu/admissions/visit.html","Email taken from the official visit page's mailto link."
"SMU Dedman School of Law","lawadmit@smu.edu","Admissions","business law; criminal justice reform","https://www.smu.edu/law/admissions/contact-admissions",""
"Stanford Law School","admissions@law.stanford.edu","Admissions","corporate governance; compliance; regulation","https://law.stanford.edu/wp-content/uploads/2025/09/2026-SLS-Application-Fee-Waiver-Instructions.pdf","Official Stanford Law PDF rather than a general contact page."
"Temple University Beasley School of Law","lawadmis@temple.edu","JD admissions","trial advocacy; public interest; regulatory and criminal law","https://law.temple.edu/admissions/jd/contact/",""
"Tulane University Law School","lawadmissions@tulane.edu","Admissions","comparative and international law; public service","https://law.tulane.edu/staff-directory",""
"UC Berkeley School of Law","admissions@law.berkeley.edu","JD admissions","corporate accountability; regulation; business law","https://www.law.berkeley.edu/about-us/contact-us/",""
"UC Irvine School of Law","admissions@law.uci.edu","Admissions","public law; consumer law; regulation","https://www.law.uci.edu/admission/apply/faqs.html",""
"UC Law San Francisco","admissions@uclawsf.edu","JD admissions","public interest; tech and regulation; government access","https://www.uclawsf.edu/admissions/contact-us-jd/",""
"UCLA School of Law","admissions@law.ucla.edu","JD admissions","business law; public interest; regulation","https://law.ucla.edu/admissions/jd-admissions/contact-us",""
"UNC School of Law","law_admissions@unc.edu","Admissions","public law; government; prosecution and regulation","https://law.unc.edu/admissions/",""
"University of Chicago Law School","admissions@law.uchicago.edu","JD admissions","corporate and public law; enforcement; law and economics","https://www.law.uchicago.edu/contact",""
